Summary,Issue Type,Epic Link,Component,Labels,Description,Acceptance Criteria
Oxidant SQL parity with Databricks SQL on AWS Glue + Lake Formation,Epic,,catalogs;sql;databricks;lakeformation,databricks;parity;glue;lakeformation,"Systematically validate Oxidant against the Databricks SQL language manual, close parser/dialect/function gaps, extend Glue catalog DDL, and add Lake Formation fine-grained access control. All AWS interactions use AWS SDK for Rust in-process; AWS CLI is not allowed.","Coverage matrix exists for every Databricks SQL manual section; Databricks parity ratchet is green in CI; Glue catalog supports full DDL lifecycle via aws-sdk-glue; Lake Formation row/column filters work for Glue tables via aws-sdk-lakeformation."
Build Databricks SQL coverage matrix,Story,OXIDANT-DBR-PARITY,docs;parity,databricks;coverage;docs,"Map every section of the Databricks SQL language manual to Oxidant capabilities and record baseline pass/gap/NA counts.","Matrix in docs/databricks-coverage.md; each manual section mapped to pass/gap/NA with baseline counts."
Add Databricks-specific SQL corpus to parity harness,Story,OXIDANT-DBR-PARITY,oxidant-spark-compat,databricks;tests;parity,"Create a new databricks-tests/ corpus (or flag Databricks-relevant Spark tests) covering USING, TBLPROPERTIES, PARTITIONED BY, CLUSTER BY, DISTRIBUTE BY, SORT BY, LATERAL VIEW, PIVOT, UNPIVOT, MATCH_RECOGNIZE, QUALIFY, COPY INTO, MERGE INTO, Delta Lake SQL, and Lake Formation GRANT/REVOKE patterns.","New databricks-tests/ inputs + goldens; harness runs them; skipped files recorded with reason."
Implement staged oxidant-sql dialect pipeline,Story,OXIDANT-DBR-PARITY,oxidant-sql,databricks;dialect;parser,"Stand up the staged oxidant-sql::dialect::lower pipeline: string prefilter registry, AST intercept registry, and output naming pass.","Registry shell + migrate strip_temporary_view + AST intercept + output naming pass."
Register Wave A function aliases,Story,OXIDANT-DBR-PARITY,oxidant-loom;functions,databricks;functions;aliases,"Register trivial Spark-to-DataFusion function aliases that are semantically identical.","starts_with/ends_with, var_samp, length, approx_distinct, bool_or/bool_and, signum, pow, ucase/lcase/char aliases pass their golden blocks."
Implement high-value scalar UDF backlog,Story,OXIDANT-DBR-PARITY,oxidant-functions,databricks;functions;udf,"Implement the most-used missing scalar functions from the function-missing parity bucket.","split, mask, to_char/to_varchar/to_number, format_string, typeof, elt, bit_count, size/array_size, sort_array, map_contains_key, parse_url, url_encode/decode pass their golden blocks."
Implement CREATE TABLE … USING <format> for Glue/local catalog,Story,OXIDANT-DBR-PARITY,oxidant-sql;catalog,databricks;ddl;glue,"Implement real CREATE TABLE … USING <format> support lowered to the catalog-backed create path, not a lossy rewrite. Also covers CREATE TABLE LIKE, Hive-format STORED AS, INSERT OVERWRITE (table + DIRECTORY), and LOAD DATA.","CREATE TABLE … USING with LOCATION/PARTITIONED BY/CLUSTER BY/TBLPROPERTIES; CREATE TABLE LIKE; Hive STORED AS; INSERT OVERWRITE (table + DIRECTORY); LOAD DATA; golden blocks pass."
Implement USE CATALOG / USE DATABASE / USE SCHEMA,Story,OXIDANT-DBR-PARITY,oxidant-sql,databricks;ddl;namespace,"Implement USE statements via AST intercept so current catalog/namespace is set correctly.","AST intercept sets current catalog/namespace; handles quoting, comments, semicolons; rejects invalid catalogs as Spark does."
Implement LIKE ANY / LIKE ALL,Story,OXIDANT-DBR-PARITY,oxidant-sql,databricks;sql;expressions,"Implement Spark LIKE ANY / LIKE ALL expression syntax.","Rewritten to OR/AND chain at AST level; golden blocks pass."
Implement PIVOT / UNPIVOT,Story,OXIDANT-DBR-PARITY,oxidant-sql;plan,databricks;sql;transform,"Implement PIVOT and UNPIVOT relational operators.","Requires child-schema resolution; emits correct LogicalPlan; golden blocks pass."
